ID,name,value,description
190,From shot off target,,Used with Event 10. Indicates a shot was saved by the goalkeeper but in fact the shot was going wide and not on target
191,Off the ball foul,,Foul committed by and on a player who is not in possession of the ball
192,Block by hand,,Outfield player blocks a shot with their hand
194,Captain,Player ID,ID of the player who is the team captain
195,Pull Back,,Player in opposition's penalty box reaches the by-line and passes (cuts) the ball backwards to a teammate
196,Switch of play,,Any pass which crosses the centre zone of the pitch and in length is greater than 60 on the y axis of the pitch
197,Team kit,Kit ID,Kit of the team
198,GK hoof,,Goalkeeper drops the ball on the ground and kicks it long towards a position rather than a specific player
199,Gk kick from hands,,Goalkeeper kicks the ball forward straight out of his hands
200,Referee stop,,Referee stops play
201,Referee delay,,Delay in play instructed by referee
202,Weather problem,,Bad weather stops or interrupts play
203,Crowd trouble,,Trouble within the crowd stops or delays play
204,Fire,,Fire with the stadium stops or delays play
205,Object thrown on pitch,,Object throw from the crowd lands on the pitch and delays play
206,Spectator on pitch,,Spectator comes onto the pitch and forces a delay in play
207,Awaiting officials decision,,Given to an event/delay where the referee still has to make a decision
208,Referee injury,,Referee sustained injury causing stoppage in play
209,Game end,,The game is finished
210,Assist,,The pass was an assist for a shot. The type of shot then dictates whether it was a goal assist or just key pass.
211,Overrun,,TAKE ON (3) - where a player takes on an opponent but the ball runs away from them out of play or to an opponent.
212,Length,Dynamic - yards of pitch,The estimated length the ball has travelled during the associated event.
213,Angle,0 to 6.28 (Radians),The angle the ball travels at during an event relative to the direction of play. Shown in radians.
214,Big Chance,,Shot was deemed by Opta analysts an excellent opportunity to score - clear cut chance eg one on one
215,Individual Play,,"Player created the chance to shoot by himself, not assisted. For example he dribbled to create space for himself and shot."
216,2nd related event ID,Event_id,"If there was a 2nd assist, i.e a pass to create the opportunity for the player making the assist. MLS and German Bundesliga 1 & 2."
217,2nd assisted,,Indicates that this shot had a significant pass to create the opportunity for the pass which led to a goal
218,2nd assist,,Pass was deemed a 2nd assist - created the opportunity for another player to assist a goal
219,Players on both posts,,Assigned to event 6 indicating there were defensive players on both posts when a corner was taken
220,Player on near post,,Assigned to event 6 indicating there was a defensive player on only the near post when a corner was taken
221,Player on far post,,Assigned to event 6 indicating there was a defensive player on only the far post when corner was taken
222,No players on posts,,Assigned to event 6 indicating there were no defensive players on either post when a corner was taken
223,In-swinger,,Corner was crossed into the box swerving towards the goal
224,Out-swinger,,Corner was crossed into the  box swerving away from the goal
225,Straight,,Corner was crossed into the box with a straight ball flight
226,Suspended,,Game is has not finished but is suspended
227,Resume,,Game has resumed after being suspended mid-way through on a previous date
228,Own Shot Blocked,,Player blocks an attacking shot unintentionally from their teammate
229,Post-match complete,,Opta post match quality control has been completed on this match
230,GK X Coordinate,,GK position when goal or shot hit post
231,GK Y Coordinate,,GK position when goal or shot hit post
232,Unchallenged,,Goalkeeper smothers ball but is not under any challenge
233,Opposite related event ID,Event_id,"Used for any event where there is the same event for both teams with outcome 1 or 0. This relates the 2 event together, for example aerial duels"
234,Home Team Possession,,Possession % in last 5 mins
235,Goal Line,,Contentious decision relating to ball crossing the goal line
236,Blocked Pass,,Similar to interception but player already very close to ball - instead of touch event in past. Or assigned to the pass to indicate it was blocked
237,Low,,Indicates a low goal kick
238,Fair Play,,Ball kicked out of play for injury etc
239,By Wall,,Freekick situation blocked by wall - need associated outfielder hit
240,GK Start,,Automated qualifier which appears on all GK passes after keeper collects ball with his hands and then puts it on the ground.
241,Indirect,,Shows if indirect freekick is taken
242,Obstruction,,Foul committed is for obstruction
243,Unsporting Behaviour,,Card shown for unsporting behaviour
244,Not Retreating,,Card shown for player not retreating at a set-piece
245,Serious Foul,,Card shown for player committing a serious foul
246,Drinks Break,,Game delayed due to drinks break
247,Offside,,Contentious decision relating to offside
249,Temp_ShotOn,,Shot has occurred but it is pending additional detail qualifiers from Opta. 
250,Temp_Blocked,,Block has occurred but it is pending additional detail qualifiers from Opta.
251,Temp_Post,,Shot has hit the post but it is pending additional detail qualifiers from Opta.
252,Temp_Missed,,Shot has missed but it is pending additional detail qualifiers from Opta.
253,Temp_MissNotPassedGoalLine,,Shot has missed but not gone past the end line but it is pending additional detail qualifiers from Opta.
254,Follows a Dribble,,A goal followed a dribble by the goalscorer
255,Open Roof,Dynamic,Whether the roof is open
256,Air Humidity,Dynamic,The air humidity
257,Air Pressure,Dynamic,The air pressure
258,Sold Out,Dynamic,Whether the game is sold out
259,Celsius degrees,Dynamic,The temperature 
260,Floodlight,Dynamic,Whether the game is floodlit
261,1 on 1 Chip,,Goal scored via a 1 on 1 chip over the goalkeeper
262,Back Heel,,Goal scored via a back heel
263,Direct Corner,,Shot or goal directly from a corner
264,Aerial Foul,,Foul committed aerially
265,Attempted Tackle,,Foul committed by an attempted tackle
266,Put Through,,Gets assigned to the defending player who should have denied the shot. A “put through “ is always linked with a “failed to block” event on the defending teams side.
267,Right Arm,,Saved via right arm
268,Left Arm,,Saved via left arm
269,Both Arms,,Saved via both arms
270,Right Leg,,Saved via right leg
271,Left Leg,,Saved via left leg
272,Both Legs,,Saved via both legs
273,Hit Right Post,,Hit right post after save
274,Hit Left Post,,Hit left post after save
275,Hit Bar,,Hit bar after save
276,Out on sideline,,Shot missed and went out on sideline
277,Minutes,,Number of minutes of injury time given by the referee
278,Tap,,Freekick rolled - to enable exclusion from passing %
279,Kick Off,,Starting pass - to enable exclusion from passing %
280,Fantasy Assist Type,Event_id,"Related Event to - PASS_LOST, BLOCKED_SHOT, ATTEMPT_SAVED, POST, FREE_KICK_WON, HANDBALL_WON, OWN_GOAL, PENALTY_WON"
281,Fantasy Assisted By,,Player making assist
282,Fantasy Assist Team,,Team making assist
283,Coach ID,Coach ID,ID of the team coach
284,Duel,,Indicates Blocked Shot is a duel
285,Defensive,,Indicates a defensive duel
286,Offensive,,Indicates an offensive duel
287,Over-arm,,Indicates over-arm throw out from keeper
288,Out of Play Secs,,Amount of time the ball was out of play in the last 5 minutes
289,Denied goal-scoring opp,,Foul committed by a player denying a goal-scoring opportunity
290,Coach Types,"'1,2,18,30,32,54,57,58,59'",Shows Coaches and involved roles
291,Other Ball Contact Type,,"This is an automated extra event for DFL. It comes with a tackle or an interception and indicates if the player who made the tackle/interception retained the ball after this action or if the tackle/interception was a single ball touch (other ball contact with type “interception”, type “Defensive Clearance” or type “ TackleRetainedBall)."
