ID,name,value,description
169,Leading to attempt,,"A player error, event 51, which leads to an opponent shot on goal"
170,Leading to goal,,"A player error, event 51, which lead to an opponent scoring a goal"
185,Blocked cross,,Clearance; cross is blocked
30,Involved,Player ID's in line up,This will show all players in the starting line up and available as a substitute
41,Injury,Substitution, event 18  because of injury
42,Tactical,Substitution, event 18 for tactical reasons
44,Player position, Dynamic ," Goalkeeper, Defender,  Midfielder,  Forward or Substitute. These are the playing positions associated with each player for the specific match they are playing in."
59,Jersey number,Shirt number of player(s),"This will be shown for substitutions, line ups, line up changes"
130,Team formation,Formation ID,See appendix 14
131,Team player formation,1 to 11,Player position within a formation - 'See appendix 14
145,Formation slot,1 to 11,Formation position of a player coming on - see appendix 14
194,Captain,Player ID,ID of the player who is the team captain
197,Team kit,Kit ID,Kit of the team
50,Official position,"1, 2, 3, 4","Referee, Linesman#1, Linesman#2, Fourth official"
51,Official ID,Official ID,Unique ID for the official
200,Referee stop,,Referee stops play
201,Referee delay,,Delay in play instructed by referee
208,Referee Injury,,Referee injured
49,Attendance figure,Dynamic,Number of people in the crowd
53,Injured player id,ID of player injured,ID of the player who is injured and causing a delay in the game
202,Weather problem,,Bad weather stops or interrupts play
203,Crowd trouble,,Fire with the stadium stops or delays play
205,Object thrown on pitch,,Object throw from the crowd lands on the pitch and delays play
206,Spectator on pitch,,Spectator comes onto the pitch and forces a delay in play
207,Awaiting officials decision,,Given to an event/delay where the referee still has to make a decision
208,Referee injury,,Referee sustained injury causing stoppage in play
226,Suspended,,Game is has not finished but is suspended
227,Resume,,Game has resumed after being suspended mid-way through on a previous date
54,End cause,"1,2,3,4,5,6,7,99,100","Golden goal, weather, crowd, insufficient players, floodlight failure, frozen pitch, waterlogged pitch, other, unknown"
56,Zone,"Back, left, centre, right",Area on the pitch - see appendix 13
57,End type,,Direction of play
127,Right to Left Left to Right,,Event type 32 - Actual direction of play in relation to TV camera. X/Y coordinates however are ALWAYS all normalized to Left to Right.
144, Deleted event type,Event ID,An event which should be removed. Value will show the ID of this event
189,Player not visible,,Broadcast footage showing replay and not live footage – this event is what Opta analysts believe occurred.
209,Game end,,The game is finished
211,Overrun,,TAKE ON (3) – where a player takes on an opponent but the ball runs away from them out of play or to an opponent.
229,Post-match complete,,Opta post match quality control has been completed on this match
